id,FalseSent,trueSent
517,He poured coffee into pizza.,He poured coffee into his cup.
518,she went to library to watch a movie.,she went to library to read the books.
519,Water in solid form is liquid.,Water in solid form is ice.
520,An ant is smaller then an atom.,An ant is smaller then a horse.
521,You would apply for volunteer work because you want money,You would apply for a job because you want money
522,Driver of a bus usually sits in the rearmost seat,You will find the driver of a bus in the front seat
523,The fridge wants to go through the door.,The cat wants to go through the door.
524,He went to blood bank to eat food,he went to blood bank to donate blood
525,He was travelling to office in his cooker,He was travelling to office in his bike
526,Cyclists ride a zebra in a competition,Cyclists ride a bike in a competition
527,The pilot was flying the bike,The pilot was flying the plane
528,she put a giraffe in the fridge.,he put an apple in the fridge
529,A car needs four wheels and a blender in order for it to be standard.,A car needs four wheels and an engine in order for it to be standard.
530,The newly married couple gave birth to a dog,The newly married couple gave birth to a boy baby
531,The Military ordered the President to Attack,The President Ordered the Military to Attack
532,a man drink beer in a hospital,a man drink beer in a bar
533,They were playing football in the fridge,They were playing football in the ground
534,My nose is stuffed with ham.,My nose is stuffed with boogers.
535,She washes her hair everyday with a mild hair oil,She washes her hair everyday with a mild shampoo
536,She drank air from her water-bottle,She drank water from her water-bottle
537,"Since my friend is a recovering  alcoholic, she only drinks wine at restaurants.","Since my friend is a recovering alcoholic, she only drinks sodas at restaurants."
538,He went to helmet to watch movie,He went to theater to watch movie
539,He made real contact lenses with match sticks,He made a model plane with match sticks
540,The kitten ran through the sun.,The kitten ran through the bushes.
541,Gunpowder can burn for hours,A candle can burn for hours.
542,she put a crocodile into the fridge,she put a ice cream into the fridge
543,"Stacey wanted to have some fun, so she went to church","Stacey wanted to have some fun, so she went out to the club"
544,Weapons are used in marriage,Weapons are used in war
545,Tom went to the job interview because he wanted soup,Tom went to the job interview because he wanted money
546,he withdrew pen from the bank,he withdrew cash from the bank
547,I will be at the club tomorrow for my antenatal.,I will be at the hospital tomorrow for my antenatal.
548,He deposited money in the restaurant,He deposited money in the bank
549,My wall is African American.,My wall is white.
550,A library contains tons of drinks,A library contains tons of bookshelves
551,The lion won in the election,the guy won in the election
552,Dogs like eating vegetables,Dogs like eating sausages
553,She drove her car around the supermarket to collect groceries,She pushed her trolley around the supermarket to collect groceries
554,He wrote a letter to his wife on a stove,He wrote a letter to his wife on a paper
555,He used an eraser to write in a paper,He wrote in a paper with a pen
556,She killed an octopus when she went hunting.,She killed a deer when she went hunting.
557,You find wood in tears,You find water in tears
558,I buy paper towels and put them in the fridge.,I buy milk and put it in the fridge.
559,A lion is a type of bird,A flamingo is a type of bird
560,He was playing games on his headphones,He was playing games on his computer
561,Weightlifters do not use weights when lifting.,A weightlifter must life weights to qualify as a weightlifter.
562,Chickens can fly long distances,birds can fly long distances
563,We turn the AC on because we like to push buttons.,We turn the AC on to cool ourselves down.
564,He mowed the car in the morning.,He mowed the lawn in the morning.
565,She put an Indian in the oven.,She put a pie in the oven.
566,The street kicked the ball down.,She kicked the ball down the street.
567,The waiter brought a silver spoon to eat.,The waiter brought a  roasted chicken to eat.
568,He used warm clothing for sunbathing,He used warm clothing for skying
569,The dog was running in the sky,The dog was running
570,My cat is as big as elephant.,My cat is lovely.
571,Hybrid cars pollute a lot in the city,Hybrid cars pollute little in the city
572,Corn grows on trees.,Apples grow on trees.
573,She have wolf pet named muffin,She have cat pet named muffin
574,A total of 2000 Lions enrolled into the University of Portsmouth this year.,A total of 2000 students enrolled into the University of Portsmouth this year.
575,It is tuna day.,It is Friday today.
576,He went to the super market to buy parents,He went to the super market to buy groceries
577,I went inside the mirror.,I looked into the mirror.
578,Television watch him daily,He watch television daily
579,Cats are commonly kept as dogs.,Cats are commonly kept as pets.
580,A hot mug of coffee is a great way to go to sleep.,A hot mug of coffee is a great way to start the day.
581,The girl rides the dog.,The girl walks the dog .
582,Cockroaches are white insects,Cockroaches are black insects
583,If you want to go to shopping then you should go to a police station,If you want to go to shopping then you should go to a shopping mall
584,the first thing people usually do in the morning is eating a pot roast,The first thing people usually do in the morning is eating breakfast
585,He needs to close his eyes to stop talking.,He needs to close his mouth to stop talking.
586,My friend brushed her hair with a knife.,My friend brushed her hair with a brush.
587,The girl has severe blue skin in public.,The girl has severe anxiety in public.
